label,rec_count,seg_count,class_name,need_synth,is_small
Nyctibius grandis,72,1657,Aves,28,False
Cissopis leverianus,74,1390,Aves,26,False
Biatas nigropectus,75,2278,Aves,25,False
Cyanocorax cyanomelas,77,1555,Aves,23,False
Cantorchilus guarayanus,79,2295,Aves,21,False
Daptrius chimachima,79,959,Aves,21,False
Pachyramphus validus,81,1497,Aves,19,False
Icterus croconotus,81,1858,Aves,19,False
Tyrannus savana,82,2012,Aves,18,False
Picumnus albosquamatus,83,1172,Aves,17,False
Tigrisoma lineatum,85,2271,Aves,15,False
Crypturellus parvirostris,92,1601,Aves,8,False
Eucometis penicillata,94,1864,Aves,6,False
Eupetomena macroura,98,1484,Aves,2,False
Phacellodomus rufifrons,98,1735,Aves,2,False
Poecilotriccus latirostris,98,2205,Aves,2,False
Ortalis canicollis,99,3088,Aves,1,False
Accipiter striatus,99,2346,Aves,1,False
Myiothlypis rivularis,100,2449,Aves,0,False
Cyanocorax cyanopogon,100,2345,Aves,0,False
Anhima cornuta,102,2034,Aves,0,False
Ara chloropterus,102,2260,Aves,0,False
Chauna torquata,102,2104,Aves,0,False
Phaethornis eurynome,103,2402,Aves,0,False
Hylophilus pectoralis,104,1927,Aves,0,False
Coccycua minuta,104,2104,Aves,0,False
Pyrrhura frontalis,104,1329,Aves,0,False
Aratinga nenday,107,1331,Aves,0,False
Chionomesa fimbriata,109,2277,Aves,0,False
Setopagis parvula,109,4337,Aves,0,False
Aramides ypecaha,109,2827,Aves,0,False
Hylocharis chrysura,117,2054,Aves,0,False
Thamnophilus pelzelni,120,3046,Aves,0,False
Progne tapera,120,2399,Aves,0,False
Conirostrum speciosum,120,2993,Aves,0,False
Colaptes campestris,121,1889,Aves,0,False
Elaenia chiriquensis,121,3047,Aves,0,False
Thectocercus acuticaudatus,124,2650,Aves,0,False
Coryphospingus cucullatus,126,3732,Aves,0,False
Crotophaga major,127,4205,Aves,0,False
Mustelirallus albicollis,128,2473,Aves,0,False
Dendrocygna viduata,131,1826,Aves,0,False
Cariama cristata,132,3409,Aves,0,False
Jacana jacana,134,1970,Aves,0,False
Pyriglena maura,136,5044,Aves,0,False
Crypturellus tataupa,137,2728,Aves,0,False
Elaenia spectabilis,144,3191,Aves,0,False
Pionus maximiliani,144,2316,Aves,0,False
Ramphastos toco,147,3944,Aves,0,False
Melanerpes candidus,149,2778,Aves,0,False
Dromococcyx phasianellus,149,3636,Aves,0,False
Phacellodomus ruber,153,2973,Aves,0,False
Conopophaga lineata,159,3450,Aves,0,False
Lurocalis semitorquatus,159,3038,Aves,0,False
Corythopis delalandi,159,4226,Aves,0,False
Patagioenas picazuro,161,2578,Aves,0,False
Columbina squammata,161,2653,Aves,0,False
Butorides striata,164,1556,Aves,0,False
Ara ararauna,165,4240,Aves,0,False
Spizaetus tyrannus,167,3925,Aves,0,False
Momotus momota,169,3821,Aves,0,False
Theristicus caudatus,174,2824,Aves,0,False
Quesada gigas,178,3516,Insecta,0,False
Asio clamator,181,4933,Aves,0,False
Campylorhamphus trochilirostris,181,3774,Aves,0,False
Cacicus solitarius,181,4323,Aves,0,False
Cyanocorax chrysops,182,3609,Aves,0,False
Caracara plancus,185,3057,Aves,0,False
Icterus pyrrhopterus,186,4202,Aves,0,False
Donacobius atricapilla,187,5218,Aves,0,False
Amazona amazonica,190,3932,Aves,0,False
Leptotila rufaxilla,193,5802,Aves,0,False
Crypturellus undulatus,204,13079,Aves,0,False
Amazona aestiva,204,3766,Aves,0,False
Hypoedaleus guttatus,204,4986,Aves,0,False
Myiothlypis flaveola,204,5572,Aves,0,False
Gallus gallus,205,4435,Aves,0,False
Campylorhynchus turdinus,211,4749,Aves,0,False
Dendroplex picus,218,5354,Aves,0,False
Myiarchus ferox,219,4017,Aves,0,False
Procnias nudicollis,223,9026,Aves,0,False
Myiopagis viridicata,223,5454,Aves,0,False
Ramphocelus carbo,225,5120,Aves,0,False
Megaceryle torquata,235,3820,Aves,0,False
Synallaxis spixi,236,4049,Aves,0,False
Athene cunicularia,237,4513,Aves,0,False
Gnorimopsar chopi,240,6167,Aves,0,False
Brotogeris chiriri,241,4331,Aves,0,False
Hemitriccus margaritaceiventer,241,5629,Aves,0,False
Myiothlypis leucoblephara,242,4664,Aves,0,False
Thraupis palmarum,243,5862,Aves,0,False
Myiozetetes cayanensis,246,4959,Aves,0,False
Cnemotriccus fuscatus,247,5260,Aves,0,False
Antrostomus rufus,255,16576,Aves,0,False
Polioptila dumicola,262,5577,Aves,0,False
Turdus amaurochalinus,265,9599,Aves,0,False
Galbula ruficauda,265,4960,Aves,0,False
Mimus saturninus,270,7176,Aves,0,False
Thraupis sayaca,277,5748,Aves,0,False
Thamnophilus caerulescens,290,6981,Aves,0,False
Elaenia flavogaster,294,5279,Aves,0,False
Crotophaga ani,303,5435,Aves,0,False
Furnarius rufus,315,5047,Aves,0,False
Synallaxis albescens,316,6660,Aves,0,False
Micrastur ruficollis,335,11594,Aves,0,False
Legatus leucophaius,343,9572,Aves,0,False
Chiroxiphia caudata,348,10211,Aves,0,False
Dryocopus lineatus,353,7038,Aves,0,False
Lathrotriccus euleri,354,8198,Aves,0,False
Saltator coerulescens,359,9665,Aves,0,False
Nyctibius griseus,366,9058,Aves,0,False
Aramus guarauna,402,7323,Aves,0,False
Aramides cajaneus,422,13054,Aves,0,False
Sittasomus griseicapillus,423,7354,Aves,0,False
Piaya cayana,429,7776,Aves,0,False
Synallaxis frontalis,435,8508,Aves,0,False
Thamnophilus doliatus,450,10343,Aves,0,False
Tyto furcata,464,8837,Aves,0,False
Tringa melanoleuca,466,5934,Aves,0,False
Taraba major,472,12285,Aves,0,False
Sicalis flaveola,473,10981,Aves,0,False
Pitangus sulphuratus,474,9637,Aves,0,False
Dendrocygna autumnalis,475,6815,Aves,0,False
Tapera naevia,476,10802,Aves,0,False
Tyrannus melancholicus,480,9722,Aves,0,False
Passer domesticus,480,9763,Aves,0,False
Pandion haliaetus,481,8245,Aves,0,False
Nyctidromus albicollis,485,14131,Aves,0,False
Megascops choliba,486,13794,Aves,0,False
Rupornis magnirostris,487,12430,Aves,0,False
Turdus rufiventris,487,13344,Aves,0,False
Micrastur semitorquatus,487,23501,Aves,0,False
Myiozetetes similis,487,10847,Aves,0,False
Camptostoma obsoletum,488,9734,Aves,0,False
Megarynchus pitangua,488,10200,Aves,0,False
Leptotila verreauxi,488,13919,Aves,0,False
Myiarchus tyrannulus,488,16100,Aves,0,False
Glaucidium brasilianum,490,10995,Aves,0,False
Coereba flaveola,491,10675,Aves,0,False
Vanellus chilensis,491,7658,Aves,0,False
Tolmomyias sulphurescens,493,11266,Aves,0,False
